UID,Grad status
A9412,Participant
A6693,participant
A1912,Participant
A6279,Graduate
A7547,Graduate
A1151,Drop
A5311,Graduate
A7639,Graduate
A7399,Graduate
A5691,Graduate
A9498,Graduate
A6732,Drop
A2724,Graduate
A6281,Graduate
A9444,Graduate
A3669,Graduate
A4662,Participant
A5278,Participant
A5374,Graduate
A4161,Drop
A2729,Graduate
A8971,Graduate
A4127,Graduate
A6985,Graduate
A7848,Graduate
A3565,Graduate
A7837,Drop
A4346,Graduate
A8965,Graduate
A6746,Graduate
A6792,Graduate
A5535,Graduate
A4544,Graduate
A9516,Graduate
A7137,Graduate
A8948,Graduate
A6987,Graduate
A5786,Graduate
A7551,Graduate
A4649,Participant
A6658,Participant
A5726,Graduate
A5738,Graduate
A8853,Graduate
A7597,Graduate
A4711,Graduate
A8735,graduate
A6918,Graduate
A4589,Graduate
A9451,Graduate
A3156,Graduate
A7768,Graduate
A6869,graduate
A3888,Graduate
A5957,Graduate
A3479,Participant
A2238,graduate
A9382,Graduate
A2387,Graduate
A1927,Graduate
A6928,Graduate
A9124,Participant
A3517,Participant
A5938,Graduate
A7864,Participant
A4575,participant
A1748,participant
A3497,Graduate
A2989,Graduate
A2646,Graduate
A8212,Graduate
A7494,Participant
A3829,Participant
A5731,Graduate
A9285,Graduate
A6238,Graduate
A4923,Graduate
A6992,Graduate
A4697,Drop
A6268,Graduate
A2782,Participant
A3617,Graduate
A9848,Participant
A9275,Participant
A8863,participant
A2154,Participant
A2382,Participant
A9425,Participant
A3598,Participant
A6447,Drop
A5941,Graduate
A6961,Participant
A4126,Graduate
A6366,Participant
A4169,Participant
A3391,Graduate
A7261,Participant
A3813,Participant
A5619,Graduate
A8876,Drop
A8953,Participant
A1279,Graduate
A6815,Graduate
A5988,Graduate
A7573,graduate
A5556,graduate
A2675,drop
A7754,Graduate
A8468,Graduate
A2714,graduate
A8513,participant
A1998,Participant
A4971,Participant
A4734,Graduate
A9233,Drop
A2483,drop
A2442,graduate
A6825,Graduate
A6541,Participant
A7511,Graduate
A7557,Drop
A6123,Graduate
A3217,participant
A8378,Graduate
A4185,Drop
A1135,Graduate
A1239,Graduate
A9998,Participant
A4653,Graduate
A2873,Graduate
A2847,Drop
A1314,Graduate
A1656,Graduate
A5344,Drop
A5188,Graduate
A1486,Graduate
A6712,Graduate
A6464,Graduate
A3237,Graduate
A8642,Drop
A9748,Participant
A4526,Participant
A9676,drop
A3113,Participant
A4427,participant
A8878,Graduate
A1397,Graduate
A3492,Participant
A4384,Graduate
A6336,Graduate
A6929,Graduate
A7187,Graduate
A3564,Graduate
A4896,Graduate
A5383,Drop
A1115,Graduate
A2379,Participant
A7174,Graduate
A4386,graduate
A7113,Graduate
A5359,Graduate
A9537,Graduate
A1467,Drop
A3441,Participant
A6774,Participant
A9584,Graduate
A4516,Participant
A7154,Graduate
A2923,Graduate
A9343,Participant
A3526,Graduate
A3726,Graduate
A3444,Graduate
A7546,Graduate
A9723,Participant
A5717,Participant
A7682,Participant
A6236,Drop
A3775,Graduate
A3853,Graduate
A4952,Graduate
A2696,Graduate
A2347,graduate
A9137,participant
A3854,Graduate
A2157,participant
A9888,Graduate
A5651,Drop
A8194,graduate
A2487,Participant
A3361,Graduate
A6948,graduate
A2537,Graduate
A1243,graduate
A7685,Participant
A5951,Graduate
A6489,participant
A6374,graduate
A6773,drop
A1426,Drop
A5555,Graduate
A7133,Graduate
A7892,Graduate
A6132,graduate
A3392,Drop
A9953,graduate
A1863,participant
A7396,Drop
A3982,Graduate
A1492,graduate
A9493,Drop
A7753,Participant
A7319,Participant
A9472,Drop
A1399,graduate
A5692,graduate
A5129,graduate
A6638,Participant
A9185,graduate
A3329,Graduate
A4469,graduate
A9789,Drop
A2928,Graduate
A8141,Graduate
A2719,graduate
A6379,Drop
A8565,graduate
A3416,Participant
A4833,Participant
A9238,Participant
A2116,graduate
A7264,Drop
A6627,Participant
A6427,graduate
A7441,Drop
A8631,Graduate
A8448,Graduate
A8489,Participant
