UID,FINAL STATUS
A8988,GRADUATED
A4837,NA
A5239,GRADUATED
A6216,GRADUATED
A7416,DROPPED
A9759,GRADUATED
A9164,GRADUATED
A7839,DROPPED
A2687,GRADUATED
A9231,GRADUATED
A8516,GRADUATED
A1483,GRADUATED
A1484,MISSING POST
A2337,GRADUATED
A9556,GRADUATED
A7795,DROPPED
A8451,GRADUATED
A7896,GRADUATED
A3935,DROPPED
A6813,GRADUATED
A4383,GRADUATED
A5785,GRADUATED
A2228,GRADUATED
A1198,GRADUATED
A5712,GRADUATED
A2448,GRADUATED
A3955,MISSING POST
A3431,MISSING POST
A7618,GRADUATED
A3149,GRADUATED
A2913,DROPPED
A2934,GRADUATED
A9263,MISSING POST
A3736,GRADUATED
A6721,DROPPED
A1779,DROPPED
A3211,GRADUATED
A8938,GRADUATED
A1138,DROPPED
A2584,GRADUATED
A2972,GRADUATED
A1123,GRADUATED
A2867,GRADUATED
A6297,GRADUATED
A2857,DROPPED
A3297,GRADUATED
A4844,DROPPED
A7979,GRADUATED
A3399,GRADUATED
A6352,GRADUATED
A4366,GRADUATED
A9284,MISSING POST
A1165,DROPPED
A1933,GRADUATED
A5882,GRADUATED
A8716,GRADUATED
A9242,GRADUATED
A4592,GRADUATED
A8977,GRADUATED
A7389,GRADUATED
A7211,DROPPED
A4997,GRADUATED
A7498,DROPPED
A5237,MISSING POST
A4931,GRADUATED
A3345,MISSING POST
A6214,GRADUATED
A4337,GRADUATED
A5665,DROPPED
A6185,GRADUATED
A3482,GRADUATED
A5165,GRADUATED
A1532,GRADUATED
A9327,GRADUATED
A2751,GRADUATED
A5886,GRADUATED
A7692,GRADUATED
A1539,DROPPED
A5466,MISSING POST
A8577,GRADUATED
A7633,GRADUATED
